length	cima	cima_log
10000	0.022000	0.001000
20000	0.041000	0.001000
30000	0.061000	0.001000
40000	0.080000	0.001000
50000	0.100000	0.000000
60000	0.120000	0.001000
70000	0.139000	0.001000
80000	0.343000	0.001000
90000	0.181000	0.000000
100000	0.197000	0.000000
110000	0.216000	0.001000
120000	0.378000	0.001000
130000	0.257000	0.001000
140000	0.274000	0.001000
150000	0.423000	0.002000
160000	0.318000	0.001000
170000	0.335000	0.001000
180000	0.594000	0.001000
190000	0.373000	0.002000
200000	0.400000	0.000000
210000	0.554000	0.001000
220000	0.995000	0.000000
230000	0.593000	0.001000
240000	0.685000	0.001000
250000	0.503000	0.001000
260000	0.696000	0.001000
270000	0.678000	0.001000
280000	0.557000	0.001000
290000	0.882000	0.001000
300000	0.969000	0.002000
310000	0.669000	0.001000
320000	0.785000	0.001000
330000	0.917000	0.001000
340000	0.955000	0.001000
350000	0.699000	0.001000
360000	0.958000	0.002000
370000	0.921000	0.001000
380000	1.095000	0.001000
390000	0.812000	0.001000
400000	0.791000	0.001000
410000	0.803000	0.001000
420000	1.368000	0.001000
430000	10.533000	0.001000
440000	1.732000	0.001000
450000	1.300000	0.001000
460000	1.098000	0.001000
470000	1.104000	0.001000
480000	1.201000	0.001000
490000	1.062000	0.002000
500000	1.585000	0.002000
510000	1.729000	0.002000
520000	1.647000	0.001000
530000	1.451000	0.001000
540000	1.277000	0.001000
550000	1.152000	0.001000
560000	1.153000	0.001000
570000	1.213000	0.001000
580000	1.406000	0.001000
590000	1.218000	0.001000
600000	1.203000	0.001000
610000	1.269000	0.001000
620000	1.273000	0.001000
630000	1.476000	0.001000
640000	1.297000	0.001000
650000	1.289000	0.001000
660000	1.334000	0.001000
670000	1.499000	0.001000
680000	1.347000	0.001000
690000	1.381000	0.001000
700000	1.818000	0.001000
710000	3.648000	0.001000
720000	1.835000	0.001000
730000	1.950000	0.001000
740000	1.882000	0.002000
750000	1.701000	0.001000
760000	2.093000	0.001000
770000	1.771000	0.001000
780000	1.887000	0.001000
790000	2.156000	0.001000
800000	2.089000	0.001000
810000	1.652000	0.001000
820000	1.988000	0.001000
830000	2.899000	0.001000
840000	2.258000	0.001000
850000	2.436000	0.002000
860000	2.179000	0.001000
870000	2.842000	0.001000
880000	1.984000	0.001000
890000	1.980000	0.001000
900000	3.025000	0.002000
910000	2.491000	0.002000
920000	2.498000	0.002000
930000	2.198000	0.001000
940000	2.426000	0.001000
950000	2.511000	0.002000
960000	2.125000	0.001000
970000	1.985000	0.001000
980000	2.152000	0.001000
990000	1.977000	0.001000
